Name,Link,Podcast,Number,Löschen?,Kein Podcast?,Privat?,Zeile OK?,100.00%,Podcasts bis jetzt (zum nachschlagen):,
BM-12-03-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-12-03-13.txt,BM,12-03-13,,,,TRUE,,,
BM-12-06-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-12-06-12.txt,BM,12-06-12,,,,TRUE,,,
BM-12-07-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-12-07-12.txt,BM,12-07-12,,,,TRUE,,,
BM-12-10-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-12-10-12.txt,BM,12-10-12,,,,TRUE,,,
BM-12-12-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-12-12-12.txt,BM,12-12-12,,,,TRUE,,,
bm-13-01-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/bm-13-01-13.txt,BM,13-01-13,,,,TRUE,,,
BM-13-09-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-13-09-12.txt,BM,13-09-12,,,,TRUE,,,
BM-13-11-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-13-11-12.txt,BM,13-11-12,,,,TRUE,,,
BM-14-08-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-14-08-12.txt,BM,14-08-12,,,,TRUE,,,
bm-15-01-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/bm-15-01-13.txt,BM,15-01-13,,,,TRUE,,,
BM-15-05-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-15-05-12.txt,BM,15-05-12,,,,TRUE,,,
BM-15-11-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-15-11-12.txt,BM,15-11-12,,,,TRUE,,,
BM-16-08-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-16-08-12.txt,BM,16-08-12,,,,TRUE,,,
BM-17-02-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-17-02-13.txt,BM,17-02-13,,,,TRUE,,,
BM-17-04-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-17-04-12.txt,BM,17-04-12,,,,TRUE,,,
BM-17-07-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-17-07-12.txt,BM,17-07-12,,,,TRUE,,,
BM-18-09-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-18-09-12.txt,BM,18-09-12,,,,TRUE,,,
BM-18-12-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-18-12-12.txt,BM,18-12-12,,,,TRUE,,,
BM-19-02-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-19-02-13.txt,BM,19-02-13,,,,TRUE,,,
BM-19-03-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-19-03-13.txt,BM,19-03-13,,,,TRUE,,,
BM-19-06-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-19-06-12.txt,BM,19-06-12,,,,TRUE,,,
bm-19-07-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/bm-19-07-12.txt,BM,19-07-12,,,,TRUE,,,
BM-19-12-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-19-12-12.txt,BM,19-12-12,,,,TRUE,,,
BM-20-03-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-20-03-12.txt,BM,20-03-12,,,,TRUE,,,
BM-20-11-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-20-11-12.txt,BM,20-11-12,,,,TRUE,,,
BM-21-06-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-21-06-12.txt,BM,21-06-12,,,,TRUE,,,
BM-21-08-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-21-08-12.txt,BM,21-08-12,,,,TRUE,,,
BM-22-05-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-22-05-12.txt,BM,22-05-12,,,,TRUE,,,
BM-23-10-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-23-10-12.txt,BM,23-10-12,,,,TRUE,,,
BM-24-04-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-24-04-12.txt,BM,24-04-12,,,,TRUE,,,
bm-24-07-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/bm-24-07-12.txt,BM,24-07-12,,,,TRUE,,,
BM-25-09-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-25-09-12.txt,BM,25-09-12,,,,TRUE,,,
BM-25-12-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-25-12-12.txt,BM,25-12-12,,,,TRUE,,,
BM-26-02-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-26-02-13.txt,BM,26-02-13,,,,TRUE,,,
BM-26-03-13.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-26-03-13.txt,BM,26-03-13,,,,TRUE,,,
BM-26-06-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-26-06-12.txt,BM,26-06-12,,,,TRUE,,,
bm-26-07-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/bm-26-07-12.txt,BM,26-07-12,,,,TRUE,,,
BM-26-12-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-26-12-12.txt,BM,26-12-12,,,,TRUE,,,
BM-27-03-12.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/BM-27-03-12.txt,BM,27-03-12,,,,TRUE,,,
